positive_vocab,negative_vocab,neutral_vocab
awesome,bad,movie
outstanding,terrible,thoughtful
fantastic,useless,sound
terrific,hate,was
good,hatred,restrained
nice,error,actors
great,worst,did
appreciate,useless,tree
satisfied,unsatisfied,car
amused,accusing,authorative
assertive,admonishing,bemused
confident,aggressive,calm
honset,antagonistic,concerned
enthusiastic,bitter,dispationate
optimistic,pessimistic,even
playful,contemptuous,measured
it!,waste,inactive
turns!,poorly,timid
blown,worst,shy
wow!,ridiculous,old
amazing,dumb,reserve
brilliantly,badly,persistent
superb,awful,new
fabulous,skipped,conservative
wonderfully,horrible,proud
incredible,worse,curious
fantastic,depressing,boring
thank,pathetic,apathetic
prime,stupid,commanding
loved,boring,direct
favor,annoying,indirect
excellent,unrealistic,objective
chilling,bother,questioning
genius,contrived,understand
thrilling,stuck,straightforward
fascinating,miserable,candid
enjoy,quit,detached
abundant,abort,Ceremonial
accessible,absence,Clinical
accomplish,abuse,Consoling
achievement,addict,Detached
admire,adulterate,Earnest
adjust,afflict,Factual
adore,alienate,Humble
agree,angry,Informative
adventurous,Anti-social,Learned
appeal,anxiety,loud
aspire,arrogant,Matter-of-fact
astonish,bastard,Meditative
award,beg,patriotic
beautiful,bemused,persuasive
believable,betray,pleading
beloved,bias,pretentious
benefit,blame,provocative
best,block,reflective
blessing,break,serious
bonus,burden,shocking
boost,careless,unemotional
brave,chaos,urgent
